Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.3209,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.321421,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.321703,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.321598,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.321751,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.321978,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.321997,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.321427,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.321436,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.321418,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.320834,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.321184,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.321346,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.321915,"V","<=",-0.1,"P",13.284,18.013,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.321199,"V","<=",0.1,"P",14.829,19.892,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.320957,"V","<=",0.1,"P",14.829,19.892,""
