Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.396044,"V","<=",-0.1,"P",11.25,16.877,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.395418,"V","<=",-0.1,"P",11.25,16.877,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.395486,"V","<=",-0.1,"P",11.25,16.877,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.39552,"V","<=",-0.1,"P",11.25,16.877,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.394911,"V","<=",-0.1,"P",11.25,16.877,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.395207,"V","<=",-0.1,"P",11.25,16.877,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.395537,"V","<=",-0.1,"P",11.25,16.877,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.395992,"V","<=",-0.1,"P",11.25,16.877,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.395361,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.394979,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.395537,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.395377,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.395036,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.395673,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.396147,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.395759,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.396022,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.396306,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.396044,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.395532,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.395372,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.395577,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.394911,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.395207,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.395594,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.395992,"V","<=",-0.1,"P",11.726,16.778,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.395361,"V","<=",-0.1,"P",11.455,17.794,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.395036,"V","<=",-0.1,"P",11.455,17.794,""
